"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_ZONA";"SQ_CANDIDATO";"NM_URNA_CANDIDATO";"CD_SIT_TOT_TURNO";"DS_SIT_TOT_TURNO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS"
2012;2;"Eleição Ordinária";7;210000009478;"DR. GERALDO";4;"NÃO ELEITO";"N";1510
2012;2;"Eleição Ordinária";7;210000020739;"JULIO PINTOS";1;"ELEITO";"N";1811
2012;2;"Eleição Ordinária";7;210000009480;"ALFREDO";2;"ELEITO POR QP";"N";176
2012;2;"Eleição Ordinária";7;210000020741;"ANDERSON FOGUINHO";2;"ELEITO POR QP";"N";166
2012;2;"Eleição Ordinária";7;210000020742;"AYMAN";5;"SUPLENTE";"N";111
2012;2;"Eleição Ordinária";7;210000009481;"BIA ALMEIDA";5;"SUPLENTE";"N";82
2012;2;"Eleição Ordinária";7;210000009482;"BRUNO LUCAS";5;"SUPLENTE";"N";26
2012;2;"Eleição Ordinária";7;210000009483;"CARLA";5;"SUPLENTE";"N";7
2012;2;"Eleição Ordinária";7;210000020743;"CLAUDIA COUGO";5;"SUPLENTE";"N";35
2012;2;"Eleição Ordinária";7;210000009484;"DANILO PEREIRA";5;"SUPLENTE";"N";130
2012;2;"Eleição Ordinária";7;210000020744;"DANUVIO ALMEIDA";5;"SUPLENTE";"N";27
2012;2;"Eleição Ordinária";7;210000009485;"EDGARD";5;"SUPLENTE";"N";78
2012;2;"Eleição Ordinária";7;210000020745;"EDMUNDO";5;"SUPLENTE";"N";147
2012;2;"Eleição Ordinária";7;210000020746;"ELIANINHA SILVEIRA";5;"SUPLENTE";"N";107
2012;2;"Eleição Ordinária";7;210000020747;"ERNESTO HAMM";5;"SUPLENTE";"N";14
2012;2;"Eleição Ordinária";7;210000020748;"FELISBELA RODRIGUES";5;"SUPLENTE";"N";25
2012;2;"Eleição Ordinária";7;210000009487;"HELMUT";2;"ELEITO POR QP";"N";135
2012;2;"Eleição Ordinária";7;210000020749;"HUGO PICHLER";5;"SUPLENTE";"N";120
2012;2;"Eleição Ordinária";7;210000009489;"JOÃO DE DEUS";5;"SUPLENTE";"N";93
2012;2;"Eleição Ordinária";7;210000020751;"LILIANE";5;"SUPLENTE";"N";25
2012;2;"Eleição Ordinária";7;210000020752;"LIZIANE";2;"ELEITO POR QP";"N";193
2012;2;"Eleição Ordinária";7;210000009490;"LUCINHA";5;"SUPLENTE";"N";40
2012;2;"Eleição Ordinária";7;210000020753;"LUIZ BRITOS";5;"SUPLENTE";"N";14
2012;2;"Eleição Ordinária";7;210000009491;"MAGDA IZZAT";5;"SUPLENTE";"N";13
2012;2;"Eleição Ordinária";7;210000009486;"MANINHO CASAGRANDE";5;"SUPLENTE";"N";112
2012;2;"Eleição Ordinária";7;210000009495;"MARA TADEO";5;"SUPLENTE";"N";51
2012;2;"Eleição Ordinária";7;210000009492;"MARCUS PETI";2;"ELEITO POR QP";"N";179
2012;2;"Eleição Ordinária";7;210000009493;"MARIA";5;"SUPLENTE";"N";11
2012;2;"Eleição Ordinária";7;210000020754;"MOISÉS ZANATTO";5;"SUPLENTE";"N";42
2012;2;"Eleição Ordinária";7;210000009494;"NICKOLAI";3;"ELEITO POR MÉDIA";"N";130
2012;2;"Eleição Ordinária";7;210000020755;"ODETE RIBEIRO";2;"ELEITO POR QP";"N";179
2012;2;"Eleição Ordinária";7;210000020756;"PEDRO ANILDO";2;"ELEITO POR QP";"N";179
2012;2;"Eleição Ordinária";7;210000020757;"REOVALDO RODRIGUES";2;"ELEITO POR QP";"N";203
2012;2;"Eleição Ordinária";7;210000020750;"ROBERTO VAZ";5;"SUPLENTE";"N";141
2012;2;"Eleição Ordinária";7;210000020758;"VILLIE HUBERT";5;"SUPLENTE";"N";73
2012;2;"Eleição Ordinária";7;210000009496;"WILLI";5;"SUPLENTE";"N";75
2012;2;"Eleição Ordinária";7;210000009497;"WILSON PRIEBE";5;"SUPLENTE";"N";36
2012;2;"Eleição Ordinária";119;210000010157;"PROFESSOR VALERIO TREBIEN";1;"ELEITO";"N";6066
2012;2;"Eleição Ordinária";119;210000008999;"RUI MILBRADT";4;"NÃO ELEITO";"N";5102
2012;2;"Eleição Ordinária";119;210000009001;"ADELIA T. ULLRICH";5;"SUPLENTE";"N";79
2012;2;"Eleição Ordinária";119;210000009002;"ALDO";5;"SUPLENTE";"N";213
2012;2;"Eleição Ordinária";119;210000009003;"ALEXANDRE";2;"ELEITO POR QP";"N";793
2012;2;"Eleição Ordinária";119;210000010160;"ALICEU";2;"ELEITO POR QP";"N";546
2012;2;"Eleição Ordinária";119;210000009004;"ALTAIR ZIANI TAIRO";5;"SUPLENTE";"N";68
2012;2;"Eleição Ordinária";119;210000010161;"ANA PAULA";5;"SUPLENTE";"N";5
2012;2;"Eleição Ordinária";119;210000009006;"BIA";5;"SUPLENTE";"N";24
2012;2;"Eleição Ordinária";119;210000010159;"CARDOSINHO";5;"SUPLENTE";"N";358
2012;2;"Eleição Ordinária";119;210000009007;"CARLITO";3;"ELEITO POR MÉDIA";"N";533
2012;2;"Eleição Ordinária";119;210000010163;"CLEBER CASSEL";2;"ELEITO POR QP";"N";847
2012;2;"Eleição Ordinária";119;210000009008;"DJONATAN";5;"SUPLENTE";"N";189
2012;2;"Eleição Ordinária";119;210000009009;"ELGO KESSELER";5;"SUPLENTE";"N";62
2012;2;"Eleição Ordinária";119;210000009010;"ELIMAR BANKOW";5;"SUPLENTE";"N";68
2012;2;"Eleição Ordinária";119;210000010164;"GELSON";5;"SUPLENTE";"N";213
2012;2;"Eleição Ordinária";119;210000009011;"GERALDO MARIO ROHDE";5;"SUPLENTE";"N";46
2012;2;"Eleição Ordinária";119;210000009012;"GERSON";2;"ELEITO POR QP";"N";889
2012;2;"Eleição Ordinária";119;210000010166;"ITAMAR";2;"ELEITO POR QP";"N";483
2012;2;"Eleição Ordinária";119;210000009013;"IZABEL";5;"SUPLENTE";"N";456
2012;2;"Eleição Ordinária";119;210000010167;"JOAO DE DEUS";5;"SUPLENTE";"N";459
2012;2;"Eleição Ordinária";119;210000010168;"KATIA MARQUES";5;"SUPLENTE";"N";159
2012;2;"Eleição Ordinária";119;210000009005;"LAURA";5;"SUPLENTE";"N";52
2012;2;"Eleição Ordinária";119;210000010169;"LORETA";5;"SUPLENTE";"N";33
2012;2;"Eleição Ordinária";119;210000010170;"LUCIANA";5;"SUPLENTE";"N";85
2012;2;"Eleição Ordinária";119;210000010171;"MARCIO";2;"ELEITO POR QP";"N";514
2012;2;"Eleição Ordinária";119;210000009014;"MARLI MULLER";5;"SUPLENTE";"N";111
2012;2;"Eleição Ordinária";119;210000009015;"MARSON DUMKE";5;"SUPLENTE";"N";41
2012;2;"Eleição Ordinária";119;210000010162;"NALDO";5;"SUPLENTE";"N";371
2012;2;"Eleição Ordinária";119;210000010165;"NEIA";5;"SUPLENTE";"N";242
2012;2;"Eleição Ordinária";119;210000010172;"NELSON MANINHO DIAS";5;"SUPLENTE";"N";134
2012;2;"Eleição Ordinária";119;210000010173;"PAULO ROBERTO UNFER";2;"ELEITO POR QP";"N";663
2012;2;"Eleição Ordinária";119;210000009016;"RONDINELLI BASSEDONE";5;"SUPLENTE";"N";51
2012;2;"Eleição Ordinária";119;210000010174;"ROSANGELA WILHELM  ROSA ";5;"SUPLENTE";"N";340
2012;2;"Eleição Ordinária";119;210000010175;"SANDRO";5;"SUPLENTE";"N";383
2012;2;"Eleição Ordinária";119;210000009017;"SOLANGE";5;"SUPLENTE";"N";232
2012;2;"Eleição Ordinária";119;210000010176;"STEFHAN STOPP";5;"SUPLENTE";"N";361
2012;2;"Eleição Ordinária";119;210000009018;"VILSON DIAS LUXINHO";2;"ELEITO POR QP";"N";565
2012;2;"Eleição Ordinária";23;210000004870;"AIRTON COSSETIN";1;"ELEITO";"N";2806
2012;2;"Eleição Ordinária";23;210000006708;"ORLANDO JOSE KOLLER";4;"NÃO ELEITO";"N";2399
2012;2;"Eleição Ordinária";23;210000006713;"ANTONIO DE LIMA";5;"SUPLENTE";"N";18
2012;2;"Eleição Ordinária";23;210000006715;"BENNO DORN";5;"SUPLENTE";"N";71
2012;2;"Eleição Ordinária";23;210000004914;"CLARICE";2;"ELEITO POR QP";"N";279
2012;2;"Eleição Ordinária";23;210000004872;"CLECI DALLABRIDA";2;"ELEITO POR QP";"N";211
